availability_id,resource_id,date,start_time,end_time,status
A0126,R007,2026-09-02,11:00,13:00,Available
A0127,R007,2026-09-02,14:00,16:00,Booked
A0128,R007,2026-09-02,16:00,18:00,Available
A0129,R008,2026-09-02,09:00,11:00,Available
A0130,R008,2026-09-02,11:00,13:00,Available
A0131,R008,2026-09-02,14:00,16:00,Available
A0132,R008,2026-09-02,16:00,18:00,Booked
A0133,R009,2026-09-02,09:00,11:00,Available
A0134,R009,2026-09-02,11:00,13:00,Available
A0135,R009,2026-09-02,14:00,16:00,Booked
A0136,R009,2026-09-02,16:00,18:00,Available
A0137,R010,2026-09-02,09:00,11:00,Available
A0138,R010,2026-09-02,11:00,13:00,Booked
A0139,R010,2026-09-02,14:00,16:00,Available
A0140,R010,2026-09-02,16:00,18:00,Available
A0141,R011,2026-09-02,09:00,11:00,Available
A0142,R011,2026-09-02,11:00,13:00,Available
A0143,R011,2026-09-02,14:00,16:00,Available
A0144,R011,2026-09-02,16:00,18:00,Available
A0145,R012,2026-09-02,09:00,11:00,Available
A0146,R012,2026-09-02,11:00,13:00,Available
A0147,R012,2026-09-02,14:00,16:00,Booked
A0148,R012,2026-09-02,16:00,18:00,Booked
A0149,R013,2026-09-02,09:00,11:00,Booked
A0150,R013,2026-09-02,11:00,13:00,Available
A0151,R013,2026-09-02,14:00,16:00,Available
A0152,R013,2026-09-02,16:00,18:00,Available
A0153,R014,2026-09-02,09:00,11:00,Available
A0154,R014,2026-09-02,11:00,13:00,Available
A0155,R014,2026-09-02,14:00,16:00,Available
A0156,R014,2026-09-02,16:00,18:00,Available
A0157,R015,2026-09-02,09:00,11:00,Available
A0158,R015,2026-09-02,11:00,13:00,Booked
A0159,R015,2026-09-02,14:00,16:00,Available
A0160,R015,2026-09-02,16:00,18:00,Available
A0161,R016,2026-09-02,09:00,11:00,Available
A0162,R016,2026-09-02,11:00,13:00,Booked
A0163,R016,2026-09-02,14:00,16:00,Available
A0164,R016,2026-09-02,16:00,18:00,Available
A0165,R017,2026-09-02,09:00,11:00,Available
A0166,R017,2026-09-02,11:00,13:00,Available
A0167,R017,2026-09-02,14:00,16:00,Booked
A0168,R017,2026-09-02,16:00,18:00,Available
A0169,R018,2026-09-02,09:00,11:00,Available
A0170,R018,2026-09-02,11:00,13:00,Booked
A0171,R018,2026-09-02,14:00,16:00,Booked
A0172,R018,2026-09-02,16:00,18:00,Available
A0173,R019,2026-09-02,09:00,11:00,Available
A0174,R019,2026-09-02,11:00,13:00,Available
A0175,R019,2026-09-02,14:00,16:00,Available
A0176,R019,2026-09-02,16:00,18:00,Available
A0177,R020,2026-09-02,09:00,11:00,Available
A0178,R020,2026-09-02,11:00,13:00,Available
A0179,R020,2026-09-02,14:00,16:00,Booked
A0180,R020,2026-09-02,16:00,18:00,Available
A0181,R021,2026-09-02,09:00,11:00,Available
A0182,R021,2026-09-02,11:00,13:00,Available
A0183,R021,2026-09-02,14:00,16:00,Available
A0184,R021,2026-09-02,16:00,18:00,Booked
A0185,R022,2026-09-02,09:00,11:00,Available
A0186,R022,2026-09-02,11:00,13:00,Available
A0187,R022,2026-09-02,14:00,16:00,Booked
A0188,R022,2026-09-02,16:00,18:00,Available
A0189,R023,2026-09-02,09:00,11:00,Available
A0190,R023,2026-09-02,11:00,13:00,Available
A0191,R023,2026-09-02,14:00,16:00,Available
A0192,R023,2026-09-02,16:00,18:00,Available
A0193,R024,2026-09-02,09:00,11:00,Available
A0194,R024,2026-09-02,11:00,13:00,Available
A0195,R024,2026-09-02,14:00,16:00,Available
A0196,R024,2026-09-02,16:00,18:00,Available
A0197,R025,2026-09-02,09:00,11:00,Available
A0198,R025,2026-09-02,11:00,13:00,Available
A0199,R025,2026-09-02,14:00,16:00,Booked
A0200,R025,2026-09-02,16:00,18:00,Available
A0201,R001,2026-09-03,09:00,11:00,Booked
A0202,R001,2026-09-03,11:00,13:00,Available
A0203,R001,2026-09-03,14:00,16:00,Available
A0204,R001,2026-09-03,16:00,18:00,Available
A0205,R002,2026-09-03,09:00,11:00,Booked
A0206,R002,2026-09-03,11:00,13:00,Available
A0207,R002,2026-09-03,14:00,16:00,Booked
A0208,R002,2026-09-03,16:00,18:00,Available
A0209,R003,2026-09-03,09:00,11:00,Available
A0210,R003,2026-09-03,11:00,13:00,Available
A0211,R003,2026-09-03,14:00,16:00,Available
A0212,R003,2026-09-03,16:00,18:00,Available
A0213,R004,2026-09-03,09:00,11:00,Booked
A0214,R004,2026-09-03,11:00,13:00,Available
A0215,R004,2026-09-03,14:00,16:00,Available
A0216,R004,2026-09-03,16:00,18:00,Available
A0217,R005,2026-09-03,09:00,11:00,Available
A0218,R005,2026-09-03,11:00,13:00,Available
A0219,R005,2026-09-03,14:00,16:00,Available
A0220,R005,2026-09-03,16:00,18:00,Available
A0221,R006,2026-09-03,09:00,11:00,Available
A0222,R006,2026-09-03,11:00,13:00,Available
A0223,R006,2026-09-03,14:00,16:00,Available
A0224,R006,2026-09-03,16:00,18:00,Available
A0225,R007,2026-09-03,09:00,11:00,Available
A0226,R007,2026-09-03,11:00,13:00,Available
A0227,R007,2026-09-03,14:00,16:00,Available
A0228,R007,2026-09-03,16:00,18:00,Available
A0229,R008,2026-09-03,09:00,11:00,Available
A0230,R008,2026-09-03,11:00,13:00,Booked
A0231,R008,2026-09-03,14:00,16:00,Booked
A0232,R008,2026-09-03,16:00,18:00,Available
A0233,R009,2026-09-03,09:00,11:00,Available
A0234,R009,2026-09-03,11:00,13:00,Available
A0235,R009,2026-09-03,14:00,16:00,Available
A0236,R009,2026-09-03,16:00,18:00,Booked
A0237,R010,2026-09-03,09:00,11:00,Booked
A0238,R010,2026-09-03,11:00,13:00,Available
A0239,R010,2026-09-03,14:00,16:00,Available
A0240,R010,2026-09-03,16:00,18:00,Booked
A0241,R011,2026-09-03,09:00,11:00,Available
A0242,R011,2026-09-03,11:00,13:00,Booked
A0243,R011,2026-09-03,14:00,16:00,Available
A0244,R011,2026-09-03,16:00,18:00,Available
A0245,R012,2026-09-03,09:00,11:00,Available
A0246,R012,2026-09-03,11:00,13:00,Booked
A0247,R012,2026-09-03,14:00,16:00,Available
A0248,R012,2026-09-03,16:00,18:00,Available
A0249,R013,2026-09-03,09:00,11:00,Available
A0250,R013,2026-09-03,11:00,13:00,Available
A0251,R013,2026-09-03,14:00,16:00,Available
A0252,R013,2026-09-03,16:00,18:00,Available
A0253,R014,2026-09-03,09:00,11:00,Available
A0254,R014,2026-09-03,11:00,13:00,Available
A0255,R014,2026-09-03,14:00,16:00,Available
A0256,R014,2026-09-03,16:00,18:00,Available
A0257,R015,2026-09-03,09:00,11:00,Booked
A0258,R015,2026-09-03,11:00,13:00,Booked
A0259,R015,2026-09-03,14:00,16:00,Available
A0260,R015,2026-09-03,16:00,18:00,Booked
A0261,R016,2026-09-03,09:00,11:00,Available
A0262,R016,2026-09-03,11:00,13:00,Booked
A0263,R016,2026-09-03,14:00,16:00,Available
A0264,R016,2026-09-03,16:00,18:00,Booked
A0265,R017,2026-09-03,09:00,11:00,Available
A0266,R017,2026-09-03,11:00,13:00,Available
A0267,R017,2026-09-03,14:00,16:00,Available
A0268,R017,2026-09-03,16:00,18:00,Available
A0269,R018,2026-09-03,09:00,11:00,Available
A0270,R018,2026-09-03,11:00,13:00,Available
A0271,R018,2026-09-03,14:00,16:00,Available
A0272,R018,2026-09-03,16:00,18:00,Available
A0273,R019,2026-09-03,09:00,11:00,Available
A0274,R019,2026-09-03,11:00,13:00,Available
A0275,R019,2026-09-03,14:00,16:00,Available
A0276,R019,2026-09-03,16:00,18:00,Available
A0277,R020,2026-09-03,09:00,11:00,Available
A0278,R020,2026-09-03,11:00,13:00,Booked
A0279,R020,2026-09-03,14:00,16:00,Available
A0280,R020,2026-09-03,16:00,18:00,Booked
A0281,R021,2026-09-03,09:00,11:00,Available
A0282,R021,2026-09-03,11:00,13:00,Booked
A0283,R021,2026-09-03,14:00,16:00,Available
A0284,R021,2026-09-03,16:00,18:00,Available
A0285,R022,2026-09-03,09:00,11:00,Available
A0286,R022,2026-09-03,11:00,13:00,Booked
A0287,R022,2026-09-03,14:00,16:00,Booked
A0288,R022,2026-09-03,16:00,18:00,Available
A0289,R023,2026-09-03,09:00,11:00,Available
A0290,R023,2026-09-03,11:00,13:00,Available
A0291,R023,2026-09-03,14:00,16:00,Available
A0292,R023,2026-09-03,16:00,18:00,Available
A0293,R024,2026-09-03,09:00,11:00,Booked
A0294,R024,2026-09-03,11:00,13:00,Available
A0295,R024,2026-09-03,14:00,16:00,Available
A0296,R024,2026-09-03,16:00,18:00,Booked
A0297,R025,2026-09-03,09:00,11:00,Available
A0298,R025,2026-09-03,11:00,13:00,Available
A0299,R025,2026-09-03,14:00,16:00,Available
A0300,R025,2026-09-03,16:00,18:00,Booked
A0301,R001,2026-09-04,09:00,11:00,Available
A0302,R001,2026-09-04,11:00,13:00,Booked
A0303,R001,2026-09-04,14:00,16:00,Available
A0304,R001,2026-09-04,16:00,18:00,Booked
A0305,R002,2026-09-04,09:00,11:00,Available
A0306,R002,2026-09-04,11:00,13:00,Available
A0307,R002,2026-09-04,14:00,16:00,Available
A0308,R002,2026-09-04,16:00,18:00,Available
A0309,R003,2026-09-04,09:00,11:00,Available
A0310,R003,2026-09-04,11:00,13:00,Available
A0311,R003,2026-09-04,14:00,16:00,Booked
A0312,R003,2026-09-04,16:00,18:00,Booked
A0313,R004,2026-09-04,09:00,11:00,Booked
A0314,R004,2026-09-04,11:00,13:00,Available
A0315,R004,2026-09-04,14:00,16:00,Available
A0316,R004,2026-09-04,16:00,18:00,Available
A0317,R005,2026-09-04,09:00,11:00,Available
A0318,R005,2026-09-04,11:00,13:00,Available
A0319,R005,2026-09-04,14:00,16:00,Available
A0320,R005,2026-09-04,16:00,18:00,Booked
A0321,R006,2026-09-04,09:00,11:00,Available
A0322,R006,2026-09-04,11:00,13:00,Available
A0323,R006,2026-09-04,14:00,16:00,Booked
A0324,R006,2026-09-04,16:00,18:00,Available
A0325,R007,2026-09-04,09:00,11:00,Available
A0326,R007,2026-09-04,11:00,13:00,Booked
A0327,R007,2026-09-04,14:00,16:00,Available
A0328,R007,2026-09-04,16:00,18:00,Available
A0329,R008,2026-09-04,09:00,11:00,Available
A0330,R008,2026-09-04,11:00,13:00,Available
A0331,R008,2026-09-04,14:00,16:00,Available
A0332,R008,2026-09-04,16:00,18:00,Available
A0333,R009,2026-09-04,09:00,11:00,Booked
A0334,R009,2026-09-04,11:00,13:00,Available
A0335,R009,2026-09-04,14:00,16:00,Booked
A0336,R009,2026-09-04,16:00,18:00,Booked
A0337,R010,2026-09-04,09:00,11:00,Available
A0338,R010,2026-09-04,11:00,13:00,Available
A0339,R010,2026-09-04,14:00,16:00,Available
A0340,R010,2026-09-04,16:00,18:00,Booked
A0341,R011,2026-09-04,09:00,11:00,Available
A0342,R011,2026-09-04,11:00,13:00,Available
A0343,R011,2026-09-04,14:00,16:00,Available
A0344,R011,2026-09-04,16:00,18:00,Available
A0345,R012,2026-09-04,09:00,11:00,Booked
A0346,R012,2026-09-04,11:00,13:00,Available
A0347,R012,2026-09-04,14:00,16:00,Available
A0348,R012,2026-09-04,16:00,18:00,Available
A0349,R013,2026-09-04,09:00,11:00,Available
A0350,R013,2026-09-04,11:00,13:00,Booked
A0351,R013,2026-09-04,14:00,16:00,Available
A0352,R013,2026-09-04,16:00,18:00,Available
A0353,R014,2026-09-04,09:00,11:00,Available
A0354,R014,2026-09-04,11:00,13:00,Available
A0355,R014,2026-09-04,14:00,16:00,Available
A0356,R014,2026-09-04,16:00,18:00,Available
A0357,R015,2026-09-04,09:00,11:00,Available
A0358,R015,2026-09-04,11:00,13:00,Available
A0359,R015,2026-09-04,14:00,16:00,Available
A0360,R015,2026-09-04,16:00,18:00,Booked
A0361,R016,2026-09-04,09:00,11:00,Booked
A0362,R016,2026-09-04,11:00,13:00,Available
A0363,R016,2026-09-04,14:00,16:00,Booked
A0364,R016,2026-09-04,16:00,18:00,Available
A0365,R017,2026-09-04,09:00,11:00,Booked
A0366,R017,2026-09-04,11:00,13:00,Available
A0367,R017,2026-09-04,14:00,16:00,Available
A0368,R017,2026-09-04,16:00,18:00,Available
A0369,R018,2026-09-04,09:00,11:00,Available
A0370,R018,2026-09-04,11:00,13:00,Available
A0371,R018,2026-09-04,14:00,16:00,Booked
A0372,R018,2026-09-04,16:00,18:00,Available
A0373,R019,2026-09-04,09:00,11:00,Available
A0374,R019,2026-09-04,11:00,13:00,Available
A0375,R019,2026-09-04,14:00,16:00,Booked
A0376,R019,2026-09-04,16:00,18:00,Booked
A0377,R020,2026-09-04,09:00,11:00,Available
A0378,R020,2026-09-04,11:00,13:00,Booked
A0379,R020,2026-09-04,14:00,16:00,Available
A0380,R020,2026-09-04,16:00,18:00,Available
A0381,R021,2026-09-04,09:00,11:00,Available
A0382,R021,2026-09-04,11:00,13:00,Available
A0383,R021,2026-09-04,14:00,16:00,Available
A0384,R021,2026-09-04,16:00,18:00,Booked
A0385,R022,2026-09-04,09:00,11:00,Available
A0386,R022,2026-09-04,11:00,13:00,Available
A0387,R022,2026-09-04,14:00,16:00,Booked
A0388,R022,2026-09-04,16:00,18:00,Available
A0389,R023,2026-09-04,09:00,11:00,Available
A0390,R023,2026-09-04,11:00,13:00,Available
A0391,R023,2026-09-04,14:00,16:00,Booked
A0392,R023,2026-09-04,16:00,18:00,Available
A0393,R024,2026-09-04,09:00,11:00,Available
A0394,R024,2026-09-04,11:00,13:00,Available
A0395,R024,2026-09-04,14:00,16:00,Available
A0396,R024,2026-09-04,16:00,18:00,Available
A0397,R025,2026-09-04,09:00,11:00,Available
A0398,R025,2026-09-04,11:00,13:00,Booked
A0399,R025,2026-09-04,14:00,16:00,Available
A0400,R025,2026-09-04,16:00,18:00,Available
A0401,R001,2026-09-05,09:00,11:00,Booked
A0402,R001,2026-09-05,11:00,13:00,Available
A0403,R001,2026-09-05,14:00,16:00,Booked
A0404,R001,2026-09-05,16:00,18:00,Booked
A0405,R002,2026-09-05,09:00,11:00,Available
A0406,R002,2026-09-05,11:00,13:00,Booked
A0407,R002,2026-09-05,14:00,16:00,Available
A0408,R002,2026-09-05,16:00,18:00,Available
A0409,R003,2026-09-05,09:00,11:00,Booked
A0410,R003,2026-09-05,11:00,13:00,Available
A0411,R003,2026-09-05,14:00,16:00,Available
A0412,R003,2026-09-05,16:00,18:00,Booked
A0413,R004,2026-09-05,09:00,11:00,Available
A0414,R004,2026-09-05,11:00,13:00,Available
A0415,R004,2026-09-05,14:00,16:00,Booked
A0416,R004,2026-09-05,16:00,18:00,Booked
A0417,R005,2026-09-05,09:00,11:00,Available
A0418,R005,2026-09-05,11:00,13:00,Available
A0419,R005,2026-09-05,14:00,16:00,Available
A0420,R005,2026-09-05,16:00,18:00,Available
A0421,R006,2026-09-05,09:00,11:00,Available
A0422,R006,2026-09-05,11:00,13:00,Available
A0423,R006,2026-09-05,14:00,16:00,Available
A0424,R006,2026-09-05,16:00,18:00,Available
A0425,R007,2026-09-05,09:00,11:00,Available
A0426,R007,2026-09-05,11:00,13:00,Available
A0427,R007,2026-09-05,14:00,16:00,Available
A0428,R007,2026-09-05,16:00,18:00,Available
A0429,R008,2026-09-05,09:00,11:00,Available
A0430,R008,2026-09-05,11:00,13:00,Available
A0431,R008,2026-09-05,14:00,16:00,Booked
A0432,R008,2026-09-05,16:00,18:00,Available
A0433,R009,2026-09-05,09:00,11:00,Available
A0434,R009,2026-09-05,11:00,13:00,Booked
A0435,R009,2026-09-05,14:00,16:00,Available
A0436,R009,2026-09-05,16:00,18:00,Available
A0437,R010,2026-09-05,09:00,11:00,Available
A0438,R010,2026-09-05,11:00,13:00,Available
A0439,R010,2026-09-05,14:00,16:00,Available
A0440,R010,2026-09-05,16:00,18:00,Available
A0441,R011,2026-09-05,09:00,11:00,Booked
A0442,R011,2026-09-05,11:00,13:00,Booked
A0443,R011,2026-09-05,14:00,16:00,Available
A0444,R011,2026-09-05,16:00,18:00,Available
A0445,R012,2026-09-05,09:00,11:00,Available
A0446,R012,2026-09-05,11:00,13:00,Available
A0447,R012,2026-09-05,14:00,16:00,Available
A0448,R012,2026-09-05,16:00,18:00,Available
A0449,R013,2026-09-05,09:00,11:00,Available
A0450,R013,2026-09-05,11:00,13:00,Available
A0451,R013,2026-09-05,14:00,16:00,Available
A0452,R013,2026-09-05,16:00,18:00,Available
A0453,R014,2026-09-05,09:00,11:00,Available
A0454,R014,2026-09-05,11:00,13:00,Booked
A0455,R014,2026-09-05,14:00,16:00,Available
A0456,R014,2026-09-05,16:00,18:00,Booked
A0457,R015,2026-09-05,09:00,11:00,Booked
A0458,R015,2026-09-05,11:00,13:00,Booked
A0459,R015,2026-09-05,14:00,16:00,Available
A0460,R015,2026-09-05,16:00,18:00,Available
A0461,R016,2026-09-05,09:00,11:00,Available
A0462,R016,2026-09-05,11:00,13:00,Booked
A0463,R016,2026-09-05,14:00,16:00,Available
A0464,R016,2026-09-05,16:00,18:00,Booked
A0465,R017,2026-09-05,09:00,11:00,Booked
A0466,R017,2026-09-05,11:00,13:00,Available
A0467,R017,2026-09-05,14:00,16:00,Available
A0468,R017,2026-09-05,16:00,18:00,Available
A0469,R018,2026-09-05,09:00,11:00,Available
A0470,R018,2026-09-05,11:00,13:00,Available
A0471,R018,2026-09-05,14:00,16:00,Available
A0472,R018,2026-09-05,16:00,18:00,Available
A0473,R019,2026-09-05,09:00,11:00,Booked
A0474,R019,2026-09-05,11:00,13:00,Available
A0475,R019,2026-09-05,14:00,16:00,Booked
A0476,R019,2026-09-05,16:00,18:00,Available
A0477,R020,2026-09-05,09:00,11:00,Available
A0478,R020,2026-09-05,11:00,13:00,Available
A0479,R020,2026-09-05,14:00,16:00,Available
A0480,R020,2026-09-05,16:00,18:00,Available
A0481,R021,2026-09-05,09:00,11:00,Available
A0482,R021,2026-09-05,11:00,13:00,Booked
A0483,R021,2026-09-05,14:00,16:00,Available
A0484,R021,2026-09-05,16:00,18:00,Available
A0485,R022,2026-09-05,09:00,11:00,Available
A0486,R022,2026-09-05,11:00,13:00,Available
A0487,R022,2026-09-05,14:00,16:00,Available
A0488,R022,2026-09-05,16:00,18:00,Available
A0489,R023,2026-09-05,09:00,11:00,Booked
A0490,R023,2026-09-05,11:00,13:00,Available
A0491,R023,2026-09-05,14:00,16:00,Available
A0492,R023,2026-09-05,16:00,18:00,Booked
A0493,R024,2026-09-05,09:00,11:00,Booked
A0494,R024,2026-09-05,11:00,13:00,Booked
A0495,R024,2026-09-05,14:00,16:00,Booked
A0496,R024,2026-09-05,16:00,18:00,Available
A0497,R025,2026-09-05,09:00,11:00,Available
A0498,R025,2026-09-05,11:00,13:00,Available
A0499,R025,2026-09-05,14:00,16:00,Available
A0500,R025,2026-09-05,16:00,18:00,Available
